Project,Driver,# Drivers,# APIs,Iteration,Coverage,Total Cov,Crash,Unique Crash
minijail,driver7,10,3,1,1.05%,2.95%,0,0
minijail,driver5,10,3,1,1.17%,2.95%,1410,2
minijail,driver3,10,3,1,0.85%,2.95%,0,0
pthreadpool,driver2,10,3,1,8.96%,16.43%,51,5
pthreadpool,driver1,10,3,1,8.10%,16.43%,101,4
pthreadpool,driver4,10,3,1,8.26%,16.43%,52,6
pthreadpool,driver6,10,3,1,8.41%,16.43%,35,5
pthreadpool,driver8,10,3,1,0.00%,16.43%,102,4
pthreadpool,driver0,10,3,1,0.00%,16.43%,53,3
pthreadpool,driver9,10,3,1,0.00%,16.43%,39,3
pthreadpool,driver7,10,3,1,8.26%,16.43%,38,4
pthreadpool,driver5,10,3,1,0.00%,16.43%,20,2
pthreadpool,driver3,10,3,1,8.10%,16.43%,53,5
libhtp,driver2,10,3,1,0.88%,1.47%,0,0
libhtp,driver1,10,3,1,0.00%,1.47%,1314,0
libhtp,driver4,10,3,1,0.00%,1.47%,1430,2
libhtp,driver6,10,3,1,0.00%,1.47%,827,2
libhtp,driver8,10,3,1,0.00%,1.47%,1034,4
libhtp,driver0,10,3,1,1.44%,1.47%,0,0
libhtp,driver9,10,3,1,0.00%,1.47%,767,4
libhtp,driver7,10,3,1,0.00%,1.47%,817,4
libhtp,driver5,10,3,1,0.00%,1.47%,1406,2
libhtp,driver3,10,3,1,0.00%,1.47%,1116,2
libvpx,driver2,10,3,1,0.03%,1.45%,0,0
libvpx,driver1,10,3,1,0.01%,1.45%,0,0
libvpx,driver4,10,3,1,0.10%,1.45%,1541,3
libvpx,driver6,10,3,1,0.02%,1.45%,0,0
libvpx,driver8,10,3,1,0.10%,1.45%,1593,3
libvpx,driver0,10,3,1,0.08%,1.45%,0,0
libvpx,driver9,10,3,1,1.21%,1.45%,0,0
libvpx,driver7,10,3,1,0.08%,1.45%,0,0
libvpx,driver5,10,3,1,0.01%,1.45%,0,0
libvpx,driver3,10,3,1,0.01%,1.45%,0,0
libtiff,driver2,10,3,1,0.04%,2.99%,12,2
libtiff,driver1,10,3,1,0.07%,2.99%,0,0
libtiff,driver4,10,3,1,0.02%,2.99%,0,0
libtiff,driver6,10,3,1,0.04%,2.99%,23,2
libtiff,driver8,10,3,1,0.01%,2.99%,0,0
libtiff,driver0,10,3,1,2.28%,2.99%,0,0
libtiff,driver9,10,3,1,0.04%,2.99%,19,2
libtiff,driver7,10,3,1,0.07%,2.99%,0,0
libtiff,driver5,10,3,1,0.04%,2.99%,20,2
libtiff,driver3,10,3,1,2.80%,2.99%,0,0
cpu_features,driver2,10,6,1,38.60%,38.60%,0,0
cpu_features,driver1,10,6,1,16.88%,38.60%,0,0
cpu_features,driver4,10,6,1,22.80%,38.60%,0,0
cpu_features,driver6,10,6,1,22.80%,38.60%,0,0
cpu_features,driver8,10,6,1,21.36%,38.60%,0,0
cpu_features,driver0,10,6,1,20.65%,38.60%,0,0
cpu_features,driver9,10,6,1,21.36%,38.60%,0,0
cpu_features,driver7,10,6,1,31.96%,38.60%,0,0
cpu_features,driver5,10,6,1,21.36%,38.60%,0,0
cpu_features,driver3,10,6,1,16.88%,38.60%,0,0
minijail,driver2,10,6,1,1.48%,8.58%,0,0
minijail,driver1,10,6,1,1.40%,8.58%,1376,2
minijail,driver4,10,6,1,1.17%,8.58%,0,0
minijail,driver6,10,6,1,1.44%,8.58%,0,0
minijail,driver8,10,6,1,1.01%,8.58%,0,0
minijail,driver0,10,6,1,6.14%,8.58%,1720,2
minijail,driver9,10,6,1,1.55%,8.58%,0,0
minijail,driver7,10,6,1,1.40%,8.58%,0,0
minijail,driver5,10,6,1,1.17%,8.58%,0,0
minijail,driver3,10,6,1,0.93%,8.58%,0,0
pthreadpool,driver2,10,6,1,0.00%,20.25%,41,4
pthreadpool,driver1,10,6,1,0.00%,20.25%,66,6
pthreadpool,driver4,10,6,1,11.14%,20.25%,55,7
pthreadpool,driver6,10,6,1,0.00%,20.25%,65,8
pthreadpool,driver8,10,6,1,0.00%,20.25%,14,2
pthreadpool,driver0,10,6,1,0.00%,20.25%,52,4
pthreadpool,driver9,10,6,1,0.00%,20.25%,78,6
pthreadpool,driver7,10,6,1,0.00%,20.25%,70,4
pthreadpool,driver5,10,6,1,12.23%,20.25%,74,10
pthreadpool,driver3,10,6,1,10.36%,20.25%,77,7
libhtp,driver2,10,6,1,1.63%,2.71%,0,0
libhtp,driver1,10,6,1,0.00%,2.71%,814,2
libhtp,driver4,10,6,1,0.00%,2.71%,41,4
libhtp,driver6,10,6,1,1.84%,2.71%,3,2
libhtp,driver8,10,6,1,0.00%,2.71%,320,5
libhtp,driver0,10,6,1,2.00%,2.71%,0,0
libhtp,driver9,10,6,1,0.00%,2.71%,115,3
libhtp,driver7,10,6,1,0.00%,2.71%,346,2
libhtp,driver5,10,6,1,0.00%,2.71%,1450,2
libhtp,driver3,10,6,1,0.00%,2.71%,46,3
libvpx,driver2,10,6,1,0.07%,0.53%,0,0
libvpx,driver1,10,6,1,0.16%,0.53%,0,0
libvpx,driver4,10,6,1,0.05%,0.53%,1609,2
libvpx,driver6,10,6,1,0.29%,0.53%,1501,3
libvpx,driver8,10,6,1,0.13%,0.53%,0,0
libvpx,driver0,10,6,1,0.07%,0.53%,1,0
libvpx,driver9,10,6,1,0.00%,0.53%,20,0
libvpx,driver7,10,6,1,0.07%,0.53%,0,0
libvpx,driver5,10,6,1,0.07%,0.53%,0,0
libvpx,driver3,10,6,1,0.06%,0.53%,0,0
libtiff,driver2,10,6,1,0.10%,2.36%,17,2
libtiff,driver1,10,6,1,2.06%,2.36%,0,0
libtiff,driver4,10,6,1,2.28%,2.36%,7,2
libtiff,driver6,10,6,1,0.04%,2.36%,17,4
libtiff,driver8,10,6,1,0.08%,2.36%,0,0
libtiff,driver0,10,6,1,2.05%,2.36%,0,0
libtiff,driver9,10,6,1,0.08%,2.36%,0,0
libtiff,driver7,10,6,1,1.09%,2.36%,1015,2
libtiff,driver5,10,6,1,0.06%,2.36%,0,0
libtiff,driver3,10,6,1,0.02%,2.36%,0,0
cpu_features,driver2,10,12,1,23.52%,38.78%,0,0
cpu_features,driver1,10,12,1,23.52%,38.78%,0,0
cpu_features,driver4,10,12,1,21.36%,38.78%,0,0
cpu_features,driver6,10,12,1,37.88%,38.78%,0,0
cpu_features,driver8,10,12,1,21.36%,38.78%,0,0
cpu_features,driver0,10,12,1,38.60%,38.78%,0,0
cpu_features,driver9,10,12,1,38.24%,38.78%,0,0
cpu_features,driver7,10,12,1,32.68%,38.78%,0,0
cpu_features,driver5,10,12,1,38.24%,38.78%,0,0
cpu_features,driver3,10,12,1,35.73%,38.78%,0,0
pthreadpool,driver2,10,12,1,0.00%,0.00%,20,2
pthreadpool,driver1,10,12,1,0.00%,0.00%,20,2
pthreadpool,driver4,10,12,1,0.00%,0.00%,15,2
pthreadpool,driver6,10,12,1,0.00%,0.00%,20,2
pthreadpool,driver8,10,12,1,0.00%,0.00%,20,2
pthreadpool,driver0,10,12,1,0.00%,0.00%,20,2
pthreadpool,driver9,10,12,1,0.00%,0.00%,19,2
pthreadpool,driver7,10,12,1,0.00%,0.00%,20,2
pthreadpool,driver5,10,12,1,0.00%,0.00%,20,2
pthreadpool,driver3,10,12,1,0.00%,0.00%,20,2
libhtp,driver2,10,12,1,1.78%,3.38%,0,0
libhtp,driver1,10,12,1,0.00%,3.38%,303,3
libhtp,driver4,10,12,1,0.00%,3.38%,45,2
libhtp,driver6,10,12,1,0.00%,3.38%,24,2
libhtp,driver8,10,12,1,0.00%,3.38%,23,2
libhtp,driver0,10,12,1,0.00%,3.38%,1117,2
libhtp,driver9,10,12,1,1.75%,3.38%,0,0
libhtp,driver7,10,12,1,1.78%,3.38%,0,0
libhtp,driver5,10,12,1,0.00%,3.38%,4,4
libhtp,driver3,10,12,1,2.68%,3.38%,0,0
libvpx,driver2,10,12,1,0.24%,0.59%,858,3
libvpx,driver1,10,12,1,0.15%,0.59%,0,0
libvpx,driver4,10,12,1,0.33%,0.59%,984,3
libvpx,driver6,10,12,1,0.00%,0.59%,20,0
libvpx,driver8,10,12,1,0.12%,0.59%,14,2
libvpx,driver0,10,12,1,0.13%,0.59%,1075,2
libvpx,driver9,10,12,1,0.00%,0.59%,35,0
libvpx,driver7,10,12,1,0.23%,0.59%,886,3
libvpx,driver5,10,12,1,0.08%,0.59%,0,0
libvpx,driver3,10,12,1,0.09%,0.59%,0,0
libtiff,driver2,10,12,1,2.15%,7.21%,0,0
libtiff,driver1,10,12,1,0.10%,7.21%,0,0
libtiff,driver4,10,12,1,3.71%,7.21%,0,0
libtiff,driver6,10,12,1,5.86%,7.21%,554,2
libtiff,driver8,10,12,1,2.53%,7.21%,0,0
libtiff,driver0,10,12,1,2.44%,7.21%,24,2
libtiff,driver9,10,12,1,0.09%,7.21%,0,0
libtiff,driver7,10,12,1,4.41%,7.21%,12,2
libtiff,driver5,10,12,1,0.15%,7.21%,0,0
libtiff,driver3,10,12,1,2.36%,7.21%,0,0
cpu_features,driver2,20,3,1,14.72%,39.14%,0,0
cpu_features,driver1,20,3,1,19.93%,39.14%,0,0
cpu_features,driver4,20,3,1,19.93%,39.14%,0,0
cpu_features,driver13,20,3,1,15.44%,39.14%,0,0
cpu_features,driver6,20,3,1,8.98%,39.14%,0,0
cpu_features,driver17,20,3,1,15.44%,39.14%,0,0
cpu_features,driver16,20,3,1,0.72%,39.14%,0,0
cpu_features,driver8,20,3,1,19.93%,39.14%,0,0
cpu_features,driver14,20,3,1,16.16%,39.14%,0,0
cpu_features,driver15,20,3,1,8.26%,39.14%,0,0
cpu_features,driver19,20,3,1,8.98%,39.14%,0,0
cpu_features,driver10,20,3,1,19.21%,39.14%,0,0
cpu_features,driver12,20,3,1,8.98%,39.14%,0,0
cpu_features,driver0,20,3,1,33.21%,39.14%,0,0
cpu_features,driver9,20,3,1,8.98%,39.14%,0,0
cpu_features,driver18,20,3,1,20.65%,39.14%,0,0
cpu_features,driver7,20,3,1,14.00%,39.14%,0,0
cpu_features,driver5,20,3,1,16.16%,39.14%,0,0
cpu_features,driver11,20,3,1,15.44%,39.14%,0,0
cpu_features,driver3,20,3,1,33.21%,39.14%,0,0
minijail,driver2,20,3,1,1.05%,4.66%,0,0
minijail,driver1,20,3,1,1.13%,4.66%,0,0
minijail,driver4,20,3,1,0.97%,4.66%,0,0
minijail,driver13,20,3,1,1.55%,4.66%,5,2
minijail,driver6,20,3,1,0.93%,4.66%,0,0
minijail,driver17,20,3,1,0.85%,4.66%,0,0
minijail,driver16,20,3,1,1.09%,4.66%,0,0
minijail,driver8,20,3,1,1.20%,4.66%,0,0
minijail,driver14,20,3,1,1.13%,4.66%,0,0
minijail,driver15,20,3,1,0.85%,4.66%,0,0
minijail,driver19,20,3,1,0.00%,4.66%,23,2
minijail,driver10,20,3,1,0.89%,4.66%,0,0
minijail,driver12,20,3,1,0.82%,4.66%,0,0
minijail,driver0,20,3,1,0.00%,4.66%,20,2
minijail,driver9,20,3,1,0.89%,4.66%,417,2
minijail,driver18,20,3,1,1.40%,4.66%,0,0
minijail,driver7,20,3,1,1.17%,4.66%,0,0
minijail,driver5,20,3,1,1.05%,4.66%,0,0
minijail,driver11,20,3,1,0.93%,4.66%,0,0
minijail,driver3,20,3,1,1.44%,4.66%,5,2
pthreadpool,driver2,20,3,1,7.94%,21.88%,37,2
pthreadpool,driver1,20,3,1,8.64%,21.88%,46,4
pthreadpool,driver4,20,3,1,0.00%,21.88%,13,2
pthreadpool,driver13,20,3,1,0.00%,21.88%,488,7
pthreadpool,driver6,20,3,1,8.10%,21.88%,34,4
pthreadpool,driver17,20,3,1,8.80%,21.88%,59,4
pthreadpool,driver16,20,3,1,0.00%,21.88%,32,2
pthreadpool,driver8,20,3,1,8.26%,21.88%,37,4
pthreadpool,driver14,20,3,1,8.02%,21.88%,23,3
pthreadpool,driver15,20,3,1,7.94%,21.88%,35,2
pthreadpool,driver19,20,3,1,0.00%,21.88%,256,4
pthreadpool,driver10,20,3,1,0.00%,21.88%,23,2
pthreadpool,driver12,20,3,1,0.00%,21.88%,88,5
pthreadpool,driver0,20,3,1,8.02%,21.88%,51,4
pthreadpool,driver9,20,3,1,0.00%,21.88%,102,4
pthreadpool,driver18,20,3,1,0.00%,21.88%,23,3
pthreadpool,driver7,20,3,1,8.80%,21.88%,27,4
pthreadpool,driver5,20,3,1,0.00%,21.88%,51,3
pthreadpool,driver11,20,3,1,8.26%,21.88%,29,3
pthreadpool,driver3,20,3,1,0.00%,21.88%,309,4
libhtp,driver2,20,3,1,0.31%,3.40%,1667,2
libhtp,driver1,20,3,1,1.44%,3.40%,0,0
libhtp,driver4,20,3,1,0.00%,3.40%,1033,3
libhtp,driver13,20,3,1,0.31%,3.40%,1704,2
libhtp,driver6,20,3,1,0.00%,3.40%,794,2
libhtp,driver17,20,3,1,0.00%,3.40%,1,2
libhtp,driver16,20,3,1,1.44%,3.40%,0,0
libhtp,driver8,20,3,1,0.00%,3.40%,1034,4
libhtp,driver14,20,3,1,0.00%,3.40%,1145,2
libhtp,driver15,20,3,1,0.00%,3.40%,769,4
libhtp,driver19,20,3,1,1.06%,3.40%,39,2
libhtp,driver10,20,3,1,0.00%,3.40%,339,2
libhtp,driver12,20,3,1,1.87%,3.40%,0,0
libhtp,driver0,20,3,1,0.00%,3.40%,762,3
libhtp,driver9,20,3,1,0.00%,3.40%,26,2
libhtp,driver18,20,3,1,0.00%,3.40%,783,5
libhtp,driver7,20,3,1,0.00%,3.40%,351,3
libhtp,driver5,20,3,1,0.00%,3.40%,1142,2
libhtp,driver11,20,3,1,0.36%,3.40%,1719,2
libhtp,driver3,20,3,1,1.50%,3.40%,0,0
libvpx,driver2,20,3,1,0.03%,1.42%,0,0
libvpx,driver1,20,3,1,0.09%,1.42%,1513,3
libvpx,driver4,20,3,1,0.01%,1.42%,0,0
libvpx,driver13,20,3,1,0.01%,1.42%,0,0
libvpx,driver6,20,3,1,0.10%,1.42%,1522,3
libvpx,driver17,20,3,1,0.01%,1.42%,0,0
libvpx,driver16,20,3,1,0.01%,1.42%,0,0
libvpx,driver8,20,3,1,1.21%,1.42%,0,0
libvpx,driver14,20,3,1,0.16%,1.42%,0,0
libvpx,driver15,20,3,1,0.01%,1.42%,0,0
libvpx,driver19,20,3,1,0.06%,1.42%,0,0
libvpx,driver10,20,3,1,0.01%,1.42%,0,0
libvpx,driver12,20,3,1,0.01%,1.42%,0,0
libvpx,driver0,20,3,1,0.01%,1.42%,0,0
libvpx,driver9,20,3,1,0.01%,1.42%,0,0
libvpx,driver18,20,3,1,0.00%,1.42%,0,0
libvpx,driver7,20,3,1,0.01%,1.42%,0,0
libvpx,driver5,20,3,1,0.06%,1.42%,1282,2
libvpx,driver11,20,3,1,0.01%,1.42%,0,0
libvpx,driver3,20,3,1,0.02%,1.42%,0,0
libtiff,driver2,20,3,1,0.10%,3.56%,17,2
libtiff,driver1,20,3,1,0.04%,3.56%,11,2
libtiff,driver4,20,3,1,0.04%,3.56%,11,2
libtiff,driver13,20,3,1,2.16%,3.56%,0,0
libtiff,driver6,20,3,1,2.12%,3.56%,0,0
libtiff,driver17,20,3,1,2.76%,3.56%,0,0
libtiff,driver16,20,3,1,0.01%,3.56%,0,0
libtiff,driver8,20,3,1,0.01%,3.56%,0,0
libtiff,driver14,20,3,1,2.57%,3.56%,0,0
libtiff,driver15,20,3,1,0.04%,3.56%,0,0
libtiff,driver19,20,3,1,0.01%,3.56%,0,0
libtiff,driver10,20,3,1,0.04%,3.56%,20,2
libtiff,driver12,20,3,1,0.04%,3.56%,19,2
libtiff,driver0,20,3,1,2.16%,3.56%,0,0
libtiff,driver9,20,3,1,0.04%,3.56%,0,0
libtiff,driver18,20,3,1,0.02%,3.56%,0,0
libtiff,driver7,20,3,1,0.01%,3.56%,0,0
libtiff,driver5,20,3,1,0.07%,3.56%,21,3
libtiff,driver11,20,3,1,0.10%,3.56%,34,2
libtiff,driver3,20,3,1,0.06%,3.56%,0,0
cpu_features,driver2,20,6,1,21.36%,39.14%,0,0
cpu_features,driver1,20,6,1,8.98%,39.14%,0,0
cpu_features,driver4,20,6,1,20.65%,39.14%,0,0
cpu_features,driver13,20,6,1,36.27%,39.14%,0,0
cpu_features,driver6,20,6,1,21.36%,39.14%,0,0
cpu_features,driver17,20,6,1,23.52%,39.14%,0,0
cpu_features,driver16,20,6,1,8.98%,39.14%,0,0
cpu_features,driver8,20,6,1,32.68%,39.14%,0,0
cpu_features,driver14,20,6,1,39.14%,39.14%,0,0
cpu_features,driver15,20,6,1,21.36%,39.14%,0,0
cpu_features,driver19,20,6,1,21.36%,39.14%,0,0
cpu_features,driver10,20,6,1,36.80%,39.14%,0,0
cpu_features,driver12,20,6,1,21.90%,39.14%,0,0
cpu_features,driver0,20,6,1,8.98%,39.14%,0,0
cpu_features,driver9,20,6,1,22.80%,39.14%,0,0
cpu_features,driver18,20,6,1,8.98%,39.14%,0,0
cpu_features,driver7,20,6,1,38.60%,39.14%,0,0
cpu_features,driver5,20,6,1,21.36%,39.14%,0,0
cpu_features,driver11,20,6,1,21.36%,39.14%,0,0
cpu_features,driver3,20,6,1,16.16%,39.14%,0,0
minijail,driver1,20,6,1,1.71%,10.37%,0,0
minijail,driver13,20,6,1,1.20%,10.37%,0,0
minijail,driver17,20,6,1,1.20%,10.37%,0,0
minijail,driver16,20,6,1,1.51%,10.37%,0,0
minijail,driver14,20,6,1,1.75%,10.37%,4,2
minijail,driver15,20,6,1,1.24%,10.37%,1449,2
minijail,driver19,20,6,1,1.48%,10.37%,0,0
minijail,driver10,20,6,1,1.44%,10.37%,0,0
minijail,driver12,20,6,1,1.09%,10.37%,0,0
minijail,driver0,20,6,1,0.00%,10.37%,1209,2
minijail,driver18,20,6,1,5.83%,10.37%,1717,2
minijail,driver11,20,6,1,1.71%,10.37%,0,0
pthreadpool,driver2,20,6,1,0.00%,25.47%,70,6
pthreadpool,driver1,20,6,1,0.00%,25.47%,46,4
pthreadpool,driver4,20,6,1,0.00%,25.47%,45,4
pthreadpool,driver13,20,6,1,0.00%,25.47%,16,2
pthreadpool,driver6,20,6,1,0.00%,25.47%,71,4
pthreadpool,driver17,20,6,1,0.00%,25.47%,72,6
pthreadpool,driver16,20,6,1,0.00%,25.47%,70,6
pthreadpool,driver8,20,6,1,0.00%,25.47%,36,3
pthreadpool,driver14,20,6,1,11.68%,25.47%,58,8
pthreadpool,driver15,20,6,1,12.15%,25.47%,74,7
pthreadpool,driver19,20,6,1,0.00%,25.47%,71,5
pthreadpool,driver10,20,6,1,0.00%,25.47%,27,4
pthreadpool,driver12,20,6,1,11.45%,25.47%,46,6
pthreadpool,driver0,20,6,1,11.06%,25.47%,36,4
pthreadpool,driver9,20,6,1,10.67%,25.47%,57,8
pthreadpool,driver18,20,6,1,0.00%,25.47%,66,4
pthreadpool,driver7,20,6,1,0.00%,25.47%,81,6
pthreadpool,driver5,20,6,1,0.00%,25.47%,65,4
pthreadpool,driver11,20,6,1,12.07%,25.47%,47,7
pthreadpool,driver3,20,6,1,0.00%,25.47%,29,3
libhtp,driver2,20,6,1,0.00%,2.42%,810,2
libhtp,driver1,20,6,1,0.00%,2.42%,20,2
libhtp,driver4,20,6,1,1.63%,2.42%,0,0
libhtp,driver13,20,6,1,1.60%,2.42%,0,0
libhtp,driver6,20,6,1,1.93%,2.42%,0,0
libhtp,driver17,20,6,1,0.00%,2.42%,1126,2
libhtp,driver16,20,6,1,0.00%,2.42%,28,3
libhtp,driver8,20,6,1,0.00%,2.42%,92,2
libhtp,driver14,20,6,1,1.60%,2.42%,0,0
libhtp,driver15,20,6,1,0.00%,2.42%,20,2
libhtp,driver19,20,6,1,0.00%,2.42%,309,4
libhtp,driver10,20,6,1,0.00%,2.42%,108,2
libhtp,driver12,20,6,1,0.00%,2.42%,722,5
libhtp,driver0,20,6,1,0.00%,2.42%,747,4
libhtp,driver9,20,6,1,0.00%,2.42%,1092,2
libhtp,driver18,20,6,1,0.00%,2.42%,1010,5
libhtp,driver7,20,6,1,0.00%,2.42%,1009,5
libhtp,driver5,20,6,1,0.00%,2.42%,139,2
libhtp,driver11,20,6,1,0.00%,2.42%,300,4
libhtp,driver3,20,6,1,0.00%,2.42%,20,2
libvpx,driver2,20,6,1,1.25%,1.62%,0,0
libvpx,driver1,20,6,1,0.08%,1.62%,2,0
libvpx,driver4,20,6,1,0.11%,1.62%,0,0
libvpx,driver13,20,6,1,0.12%,1.62%,1435,3
libvpx,driver6,20,6,1,0.05%,1.62%,0,0
libvpx,driver17,20,6,1,0.16%,1.62%,659,3
libvpx,driver16,20,6,1,0.01%,1.62%,0,0
libvpx,driver8,20,6,1,0.07%,1.62%,0,0
libvpx,driver14,20,6,1,0.07%,1.62%,0,0
libvpx,driver15,20,6,1,0.08%,1.62%,0,0
libvpx,driver19,20,6,1,0.07%,1.62%,0,0
libvpx,driver10,20,6,1,0.11%,1.62%,0,0
libvpx,driver12,20,6,1,1.24%,1.62%,0,0
libvpx,driver0,20,6,1,0.08%,1.62%,0,0
libvpx,driver9,20,6,1,0.05%,1.62%,0,0
libvpx,driver18,20,6,1,0.11%,1.62%,0,0
libvpx,driver7,20,6,1,0.10%,1.62%,0,0
libvpx,driver5,20,6,1,0.02%,1.62%,0,0
libvpx,driver11,20,6,1,0.00%,1.62%,0,0
